STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
606,Street Non-DT,End Cap,32.7799,-117.0096,"5500 Grossmont Cntr Drive,",La Mesa,CA,91942
609,Street Non-DT,End Cap,38.8039,-121.2734,2210 Sunset Blvd. Space# 100,Rocklin,CA,95765
610,Street Non-DT,End Cap,40.6435,-111.8894,5888 South State Street,Murray,UT,84107
611,Street Non-DT,End Cap,40.6498,-111.9394,5594 S Redwood Road,Taylorsville,UT,84123
613,Street Non-DT,End Cap,29.5496,-98.6656,11619 Bandera Road #101,San Antonio,TX,78250
615,Street Non-DT,End Cap,43.6187,-116.3538,1500 North Eagle Rd.,Meridian,ID,83642
616,Street Non-DT,End Cap,35.6419,-106.0127,3522 Zafarano Dr. Suite F1,Santa Fe,NM,87505
618,Street Non-DT,End Cap,34.0173,-118.4084,3812 Midway,Culver City,CA,90232
619,Street Non-DT,End Cap,38.6722,-121.2721,5871 Sunrise Blvd,Citrus Heights,CA,95610
620,Casino,Food Court,36.0207,-115.0902,2300 Paseo Verde #2006,Henderson,NV,89012
621,Casino,Food Court,36.1145,-115.1948,4321 West Flamingo Road #1241,Las Vegas,NV,89103
625,Street Non-DT,End Cap,38.6509,-121.1648,1840 Prairie City Rd #300,Folsom,CA,95630
626,Mall,Food Court,33.3017,-111.8985,3111 West Chandler Blvd,Chandler,AZ,85226
627,Street Non-DT,End Cap,33.6407,-112.3544,13732 W. Bell Rd. Space# 16,Surprise,AZ,85374
628,Street Non-DT,End Cap,32.252,-110.8933,2485 N. Swan Rd. Space# 101,Tucson,AZ,85712
629,Street Non-DT,Free Standing,32.9876,-96.8417,17602 Midway Road,Dallas,TX,75287
631,Street Non-DT,End Cap,33.3796,-111.756,3440 East Baseline Road,Mesa,AZ,85204
632,Street Non-DT,Free Standing,32.9423,-97.116,215 North Kimball Ave.,Southlake,TX,76092
633,Mall,Food Court,37.3253,-121.9454,2855 Stevens Creek Blvd,Santa Clara,CA,95050
635,Store in Store,Food Court,33.1037,-117.2687,6951 El Camino Real,Carlsbad,CA,92009
638,Street Non-DT,End Cap,34.066,-117.2696,745 E. Hospitality Lane,San Bernardino,CA,92408
639,Street Non-DT,End Cap,45.5181,-122.5598,10090 S.e. Washington St. #120,Portland,OR,97216
640,Street Non-DT,In Line,33.6764,-111.9737,21001 Tatum Blvd,Phoenix,AZ,85050
641,Mall,In Line,40.3917,-86.85,2415 Sagamore Pkwy.,Lafayette,IN,47905
642,Casino,Food Court,36.2499,-115.2441,4949 North Rancho Drive,Las Vegas,NV,89130
643,Street Non-DT,End Cap,34.4263,-118.5388,26447 Bouquet Canyon Road,Santa Clarita,CA,91350
644,Street Non-DT,End Cap,39.7064,-105.082,7660 W. Virginia Ave Unit D,Lakewood,CO,80226
647,Street DT,Free Standing,34.1901,-118.3272,1541 N. Victory Pl.,Burbank,CA,91506
648,Street Non-DT,End Cap,38.2486,-122.6237,301 S. Mcdowell Blvd Space #a,Petaluma,CA,94952
649,Street Non-DT,End Cap,33.8789,-117.9634,1931 W. Malvern Ave.,Fullerton,CA,92833
650,Street Non-DT,End Cap,33.9158,-117.9686,1350 S Beach Blvd Suite A,La Habra,CA,90631
651,Street Non-DT,End Cap,36.013,-114.964,591 College Drive Suite #d,Henderson,NV,89015
655,Street Non-DT,End Cap,36.1195,-115.1381,3825 South Maryland Pky,Las Vegas,NV,89119
657,Street Non-DT,End Cap,37.6542,-120.9587,801 Oakdale Road Space #b-1,Modesto,CA,95354
658,Street Non-DT,In Line,37.7029,-121.065,3801 Pelandale Dr. Suite A-3,Modesto,CA,95356
660,Store in Store,Food Court,34.0846,-118.3272,727 North Vine St.,Los Angeles,CA,90038
662,Street Non-DT,End Cap,35.0806,-106.6137,2820 Central Ave S.e.,Albuquerque,NM,87106
664,Mall,Food Court,33.981,-84.0808,5900 Sugarloaf Parkway #fc-5.,Lawrenceville,GA,30043
669,Street Non-DT,End Cap,42.0125,-87.9602,930 Busse Rd.,Elk Grove Village,IL,60007
674,Street Non-DT,End Cap,39.6197,-105.0167,5350 S Santa Fe Dr,Littleton,CO,80120
676,Street Non-DT,End Cap,33.8592,-118.09,11449 South Street,Cerritos,CA,90703
677,Street Non-DT,End Cap,41.8599,-88.006,411 E. Roosevelt Rd.,Lombard,IL,60148
680,Street Non-DT,End Cap,33.9529,-84.2333,3200 Holcomb Bridge Rd.,Norcross,GA,30092
682,Street DT,Free Standing,38.867,-77.229,3071 Gatehouse Plaza,Falls Church,VA,22042
686,Street Non-DT,End Cap,39.5122,-104.7659,11153 South Parker Rd. Unite D,Parker,CO,80134
687,Street Non-DT,End Cap,38.9381,-104.7606,3560 East Woodmen Rd Suite 140,Colorado Springs,CO,80920
689,Street Non-DT,End Cap,35.384,-119.1048,9200 Rosedale Highway #300,Bakersfield,CA,93312
690,Casino,In Line,35.1635,-114.5722,1900 S. Casino Dr.,Laughlin,NV,89029
691,Street Non-DT,End Cap,42.1402,-87.9101,300 East Dundee Rd.,Wheeling,IL,60090
692,Street Non-DT,End Cap,33.9168,-117.4536,9867 Magnolia Ave. Suite A,Riverside,CA,92503
694,Street Non-DT,End Cap,45.4897,-122.795,11490 Sw Canyon Rd #100,Beaverton,OR,97005
695,Street Non-DT,End Cap,34.0361,-84.5723,741 Townpark Lane Suite 10,Kennesaw,GA,30144
696,Street Non-DT,End Cap,33.7182,-117.8856,2130 S. Bristol St. Space #b,Santa Ana,CA,92704
697,Street Non-DT,End Cap,42.0075,-87.8858,7028 Mannheim Rd,Rosemont,IL,60018
698,Street Non-DT,End Cap,34.2589,-119.2106,1722 Victoria Ave Space C,Ventura,CA,93003
700,Street Non-DT,End Cap,38.8976,-104.8516,1320 Garden Of The Gods Road,Colorado Springs,CO,80907
701,Mall,Food Court,45.0314,-93.022,3001 White Bear Ave,North Saint Paul,MN,55109
702,Street Non-DT,In Line,40.7212,-111.543,1748 W. Redstone Ctr Drive,Park City,UT,84098
703,Street Non-DT,End Cap,36.0654,-115.0367,641 Marks Street Suite D,Henderson,NV,89014
704,Mall,In Line,40.0511,-82.9153,120 Easton Station,Columbus,OH,43219
705,Street Non-DT,End Cap,36.8087,-119.8607,3698 West Shaw Ave,Fresno,CA,93711
707,Street Non-DT,End Cap,30.4047,-97.6734,500 W. Canyon Ridge Dr. #l100,Austin,TX,78753
