,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
176,"3230 Buford Dr, Buford, GA 30519",30519,34.064976,-83.99007900000001,2.5,$$,115.0,red-lobster-buford
177,"1405 Riverstone Pkwy, Canton, GA 30114",30114,34.249995,-84.477069,3.0,$$,38.0,red-lobster-canton
178,"375 Cherokee Pl, Cartersville, GA 30121",30121,34.172686999999996,-84.782001,3.0,$$,25.0,red-lobster-cartersville
179,"1425 13th St, Columbus, GA 31901",31901,32.471507,-84.971129,2.5,$$,25.0,red-lobster-columbus-6
180,"2679 Adams Farm Dr, Columbus, GA 31909",31909,32.544371999999996,-84.948409,2.5,$$,38.0,red-lobster-columbus
181,"1560 Dogwood Dr SE, Conyers, GA 30013",30013,33.647864,-83.99439100000001,2.0,$$,69.0,red-lobster-conyers
182,"901 W Bridge Rd, Dalton, GA 30720",30720,34.760018,-85.003411,3.5,$$,28.0,red-lobster-dalton
183,"2522 Candler Rd, Decatur, GA 30032",30032,33.716444,-84.273663,2.5,$$,58.0,red-lobster-decatur
184,"3100 Bill Arp Rd, Douglasville, GA 30135",30135,33.720246,-84.763662,2.5,$$,40.0,red-lobster-douglasville
185,"2105 Veterans Blvd, Dublin, GA 31021",31021,32.542218,-82.954462,2.5,$$,9.0,red-lobster-dublin-2
186,"2055 Pleasant Hill Rd, Duluth, GA 30096",30096,33.955604,-84.13297,3.0,$$,137.0,red-lobster-duluth
187,"1707 Browns Bridge Rd, Gainesville, GA 30501",30501,34.28448,-83.844709,3.0,$$,29.0,red-lobster-gainesville-2
188,"6550 Tara Blvd, Jonesboro, GA 30236",30236,33.575668,-84.371421,2.5,$$,49.0,red-lobster-jonesboro
189,"2626 George Busbee Pkwy NW, Kennesaw, GA 30144",30144,34.014922,-84.56671999999999,3.5,$$,78.0,red-lobster-kennesaw
190,"2077 Riverside Dr, Macon, GA 31204",31204,32.857568,-83.64489300000001,2.5,$$,38.0,red-lobster-macon
191,"1846 Jonesboro Rd, McDonough, GA 30253",30253,33.464868,-84.216527,2.5,$$,82.0,red-lobster-mcdonough
192,"990 Bullsboro Dr, Newnan, GA 30265",30265,33.39741,-84.745554,2.5,$$,37.0,red-lobster-newnan
193,"1359 Sam Nunn Blvd, Perry, GA 31069",31069,32.466921,-83.739737,3.0,$$,36.0,red-lobster-perry
